character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
哪,naa1,na3,n,aa,1,n,a,3
微,mei4,wei1,m,ei,4,w,ei,1
尼,nei4,ni2,n,ei,4,n,i,2
继,gai3,ji4,g,ai,3,j,i,4
送,sung3,song4,s,ung,3,s,ong,4
急,gap1,ji2,g,ap,1,j,i,2
血,hyut3,xie3,h,üt,3,x,ie,3
惊,ging1,liang2,g,ing,1,l,iang,2
伤,soeng1,shang1,s,oeng,1,sh,ang,1
素,sou3,su4,s,ou,3,s,u,4
药,joek6,yao4,j,oek,6,y,ao,4
适,sik1,shi4,s,ik,1,sh,i,4
波,bo1,bo1,b,o,1,b,o,1
夜,je6,ye4,j,e,6,y,e,4
省,sing2,sheng3,s,ing,2,sh,eng,3
初,co1,chu1,c,o,1,ch,u,1
喜,hei2,xi3,h,ei,2,x,i,3
卫,wai6,wei4,w,ai,6,w,ei,4
源,jyun4,yuan2,j,ün,4,y,üän,2
食,sik6,shi2,s,ik,6,sh,i,2
险,him2,xian3,h,im,2,x,iän,3
待,doi6,dai4,d,oi,6,d,ai,4
述,seot6,shu4,s,eot,6,sh,u,4
陆,luk6,lu4,l,uk,6,l,u,4
习,zaap6,xi2,z,aap,6,x,i,2
置,zi3,zhi4,z,i,3,zh,i,4
居,geoi1,ju1,g,eoi,1,j,ü,1
劳,lou4,lao2,l,ou,4,l,ao,2
财,coi4,cai2,c,oi,4,c,ai,2
环,waan4,huan2,w,aan,4,h,uan,2
排,paai4,pai2,p,aai,4,p,ai,2
福,fuk1,fu2,f,uk,1,f,u,2
纳,naap6,na4,n,aap,6,n,a,4
欢,fun1,huan1,f,un,1,h,uan,1
雷,leoi4,lei2,l,eoi,4,l,ei,2
警,ging2,jing3,g,ing,2,j,ing,3
获,wok6,huo4,w,ok,6,h,uo,4
模,mou4,mo2,m,ou,4,m,o,2
充,cung1,chong1,c,ung,1,ch,ong,1
负,fu6,fu4,f,u,6,f,u,4
云,wan4,yun2,w,an,4,y,ün,2
停,ting4,ting2,t,ing,4,t,ing,2
木,muk6,mu4,m,uk,6,m,u,4
游,jau4,you2,j,au,4,y,ou,2
龙,lung4,long2,l,ung,4,l,ong,2
树,syu6,shu4,s,ü,6,sh,u,4
疑,ji4,yi2,j,i,4,y,i,2
层,cang4,ceng2,c,ang,4,c,eng,2
冷,laang5,leng3,l,aang,5,l,eng,3
洲,zau1,zhou1,z,au,1,zh,ou,1
冲,cung1,chong1,c,ung,1,ch,ong,1
射,se6,she4,s,e,6,sh,e,4
略,loek6,lve4,l,oek,6,l,üe,4
范,faan6,fan4,f,aan,6,f,an,4
竟,ging2,jing4,g,ing,2,j,ing,4
句,geoi3,ju4,g,eoi,3,j,ü,4
室,sat1,shi4,s,at,1,sh,i,4
异,ji6,yi4,j,i,6,y,i,4
激,gik1,ji1,g,ik,1,j,i,1
汉,hon3,han4,h,on,3,h,an,4
村,cyun1,cun1,c,ün,1,c,un,1
哈,haa1,ha1,h,aa,1,h,a,1
策,caak3,ce4,c,aak,3,c,e,4
演,jin2,yan3,j,in,2,y,än,3
简,gaan2,jian3,g,aan,2,j,iän,3
卡,kaa2,qia3,k,aa,2,q,ia,3
罪,zeoi6,zui4,z,eoi,6,z,ui,4
判,pun3,pan4,p,un,3,p,an,4
担,daam1,dan4,d,aam,1,d,an,4
州,zau1,zhou1,z,au,1,zh,ou,1
静,zing6,jing4,z,ing,6,j,ing,4
退,teoi3,tui4,t,eoi,3,t,ui,4
既,gei3,ji4,g,ei,3,j,i,4
衣,ji1,yi1,j,i,1,y,i,1
您,nei5,nin2,n,ei,5,n,in,2
宗,zung1,zong1,z,ung,1,z,ong,1
积,zik1,ji1,z,ik,1,j,i,1
余,jyu4,yu2,j,ü,4,y,ü,2
痛,tung3,tong4,t,ung,3,t,ong,4
检,gim2,jian3,g,im,2,j,iän,3
差,caai1,cha4,c,aai,1,ch,a,4
富,fu3,fu4,f,u,3,f,u,4
灵,ling4,ling2,l,ing,4,l,ing,2
协,hip3,xie2,h,ip,3,x,ie,2
角,gok3,jiao3,g,ok,3,j,iao,3
占,zim3,zhan1,z,im,3,zh,an,1
配,pui3,pei4,p,ui,3,p,ei,4
征,zing1,zheng1,z,ing,1,zh,eng,1
修,sau1,xiu1,s,au,1,x,iu,1
皮,pei4,pi2,p,ei,4,p,i,2
挥,fai1,hui1,f,ai,1,h,ui,1
胜,sing3,sheng4,s,ing,3,sh,eng,4
降,hong4,jiang4,h,ong,4,j,iang,4
阶,gaai1,jie1,g,aai,1,j,ie,1
审,sam2,shen3,s,am,2,sh,en,3
沉,cam4,chen2,c,am,4,ch,en,2
坚,gin1,jian1,g,in,1,j,iän,1
善,sin6,shan4,s,in,6,sh,an,4
妈,maa1,ma1,m,aa,1,m,a,1
刘,lau4,liu2,l,au,4,l,iu,2
读,duk6,du2,d,uk,6,d,u,2
啊,aa3,a5, ,aa,3, ,a,5
超,ciu1,chao1,c,iu,1,ch,ao,1
免,min5,mian3,m,in,5,m,ian,3
压,aat3,ya1, ,aat,3,y,a,1
银,ngan4,yin2,ng,an,4,y,in,2
买,maai5,mai3,m,aai,5,m,ai,3
皇,wong4,huang2,w,ong,4,h,uang,2
养,joeng5,yang3,j,oeng,5,y,ang,3
伊,ji1,yi1,j,i,1,y,i,1
怀,waai4,huai2,w,aai,4,h,uai,2
执,zap1,zhi2,z,ap,1,zh,i,2
副,fu3,fu4,f,u,3,f,u,4
乱,lyun6,luan4,l,ün,6,l,uan,4
抗,kong3,kang4,k,ong,3,k,ang,4
犯,faan6,fan4,f,aan,6,f,an,4
追,zeoi1,zhui1,z,eoi,1,zh,ui,1
帮,bong1,bang1,b,ong,1,b,ang,1
宣,syun1,xuan1,s,ün,1,x,üän,1
佛,fat1,fo2,f,at,1,f,o,2
岁,seoi3,sui4,s,eoi,3,s,ui,4
航,hong4,hang2,h,ong,4,h,ang,2
优,jau1,you1,j,au,1,y,ou,1
怪,gwaai3,guai4,gw,aai,3,g,uai,4
香,hoeng1,xiang1,h,oeng,1,x,iang,1
著,zyu3,zhu4,z,ü,3,zh,u,4
田,tin4,tian2,t,in,4,t,ian,2
铁,tit3,tie3,t,it,3,t,ie,3
控,hung3,kong4,h,ung,3,k,ong,4
税,seoi3,shui4,s,eoi,3,sh,ui,4
左,zo2,zuo3,z,o,2,z,uo,3
右,jau6,you4,j,au,6,y,ou,4
份,fan6,fen4,f,an,6,f,en,4
穿,cyun1,chuan1,c,ün,1,ch,uan,1
艺,ngai6,yi4,ng,ai,6,y,i,4
背,bui6,bei4,b,ui,6,b,ei,4
阵,zan6,zhen4,z,an,6,zh,en,4
草,cou2,cao3,c,ou,2,c,ao,3
脚,goek3,jiao3,g,oek,3,j,iao,3
概,koi3,gai4,k,oi,3,g,ai,4
恶,ok3,e4, ,ok,3, ,e,4
块,faai3,kuai4,f,aai,3,k,uai,4
顿,deon6,dun4,d,eon,6,d,un,4
敢,gam2,gan3,g,am,2,g,an,3
守,sau2,shou3,s,au,2,sh,ou,3
酒,zau2,jiu3,z,au,2,j,iu,3
岛,dou2,dao3,d,ou,2,d,ao,3
托,tok3,tuo1,t,ok,3,t,uo,1
央,joeng1,yang1,j,oeng,1,y,ang,1
户,wu6,hu4,w,u,6,h,u,4
烈,lit6,lie4,l,it,6,l,ie,4
洋,joeng4,yang2,j,oeng,4,y,ang,2
哥,go1,ge1,g,o,1,g,e,1
索,sok3,suo3,s,ok,3,s,uo,3
胡,wu4,hu2,w,u,4,h,u,2
款,fun2,kuan3,f,un,2,k,uan,3
靠,kaau3,kao4,k,aau,3,k,ao,4
评,ping4,ping2,p,ing,4,p,ing,2
版,baan2,ban3,b,aan,2,b,an,3
宝,bou2,bao3,b,ou,2,b,ao,3
座,zo6,zuo4,z,o,6,z,uo,4
释,sik1,shi4,s,ik,1,sh,i,4
景,ging2,jing3,g,ing,2,j,ing,3
顾,gu3,gu4,g,u,3,g,u,4
弟,dai6,di4,d,ai,6,d,i,4
登,dang1,deng1,d,ang,1,d,eng,1
货,fo3,huo4,f,o,3,h,uo,4
互,wu6,hu4,w,u,6,h,u,4
付,fu6,fu4,f,u,6,f,u,4
伯,baak3,bo2,b,aak,3,b,o,2
慢,maan6,man4,m,aan,6,m,an,4
欧,au1,ou1, ,au,1, ,ou,1
换,wun6,huan4,w,un,6,h,uan,4
闻,man4,wen2,m,an,4,w,en,2
危,ngai4,wei1,ng,ai,4,w,ei,1
忙,mong4,mang2,m,ong,4,m,ang,2
核,hat6,he2,h,at,6,h,e,2
暗,am3,an4, ,am,3, ,an,4
姐,ze2,jie3,z,e,2,j,ie,3
介,gaai3,jie4,g,aai,3,j,ie,4
坏,waai6,huai4,w,aai,6,h,uai,4
讨,tou2,tao3,t,ou,2,t,ao,3
丽,lai6,li4,l,ai,6,l,i,4
良,loeng4,liang2,l,oeng,4,l,iang,2
序,zeoi6,xu4,z,eoi,6,x,ü,4
升,sing1,sheng1,s,ing,1,sh,eng,1
监,gaam3,jian1,g,aam,3,j,iän,1
临,lam4,lin2,l,am,4,l,in,2
亮,loeng6,liang4,l,oeng,6,l,iang,4
露,lou6,lu4,l,ou,6,l,u,4
永,wing5,yong3,w,ing,5,y,ong,3
呼,fu1,hu1,f,u,1,h,u,1
味,mei6,wei4,m,ei,6,w,ei,4
野,je5,ye3,j,e,5,y,e,3
架,gaa3,jia4,g,aa,3,j,ia,4
域,wik6,yu4,w,ik,6,y,ü,4
沙,saa1,sha1,s,aa,1,sh,a,1
掉,diu6,diao4,d,iu,6,d,iao,4
括,kut3,kuo4,k,ut,3,k,uo,4
舰,laam6,jian4,l,aam,6,j,iän,4
鱼,jyu4,yu2,j,ü,4,y,ü,2
杂,zaap6,za2,z,aap,6,z,a,2
误,ng6,wu4, ,_ng,6,w,u,4
湾,waan1,wan1,w,aan,1,w,an,1
吉,gat1,ji2,g,at,1,j,i,2
减,gaam2,jian3,g,aam,2,j,iän,3
编,pin1,bian1,p,in,1,b,ian,1
楚,co2,chu3,c,o,2,ch,u,3
肯,hang2,ken3,h,ang,2,k,en,3
测,cak1,ce4,c,ak,1,c,e,4
败,baai6,bai4,b,aai,6,b,ai,4
屋,uk1,wu1, ,uk,1,w,u,1
跑,paau2,pao3,p,aau,2,p,ao,3
梦,mung6,meng4,m,ung,6,m,eng,4
散,saan2,san4,s,aan,2,s,an,4
温,wan1,wen1,w,an,1,w,en,1
困,kwan3,kun4,kw,an,3,k,un,4
剑,gim3,jian4,g,im,3,j,iän,4
渐,zim6,jian4,z,im,6,j,iän,4
封,fung1,feng1,f,ung,1,f,eng,1
救,gau3,jiu4,g,au,3,j,iu,4
贵,gwai3,gui4,gw,ai,3,g,ui,4
枪,coeng1,qiang1,c,oeng,1,q,iang,1
缺,kyut3,que1,k,üt,3,q,üe,1
楼,lau4,lou2,l,au,4,l,ou,2
县,jyun6,xian4,j,ün,6,x,iän,4
尚,soeng6,shang4,s,oeng,6,sh,ang,4
毫,hou4,hao2,h,ou,4,h,ao,2
移,ji4,yi2,j,i,4,y,i,2
娘,noeng4,niang2,n,oeng,4,n,iang,2
朋,pang4,peng2,p,ang,4,p,eng,2
画,waak6,hua4,w,aak,6,h,ua,4
班,baan1,ban1,b,aan,1,b,an,1
智,zi3,zhi4,z,i,3,zh,i,4
亦,jik6,yi4,j,ik,6,y,i,4
耳,ji5,er3,j,i,5, ,er,3
恩,jan1,en1,j,an,1, ,en,1
短,dyun2,duan3,d,ün,2,d,uan,3
掌,zoeng2,zhang3,z,oeng,2,zh,ang,3
恐,hung2,kong3,h,ung,2,k,ong,3
遗,wai4,yi2,w,ai,4,y,i,2
固,gu3,gu4,g,u,3,g,u,4
席,zik6,xi2,z,ik,6,x,i,2
松,cung4,song1,c,ung,4,s,ong,1
秘,bei3,mi4,b,ei,3,m,i,4
谢,ze6,xie4,z,e,6,x,ie,4
鲁,lou5,lu3,l,ou,5,l,u,3
遇,jyu6,yu4,j,ü,6,y,ü,4
康,hong1,kang1,h,ong,1,k,ang,1
虑,leoi6,lv4,l,eoi,6,l,ü,4
幸,hang6,xing4,h,ang,6,x,ing,4
均,gwan1,jun1,gw,an,1,j,ün,1
销,siu1,xiao1,s,iu,1,x,iao,1
钟,zung1,zhong1,z,ung,1,zh,ong,1
诗,si1,shi1,s,i,1,sh,i,1
藏,zong6,cang2,z,ong,6,c,ang,2
赶,gon2,gan3,g,on,2,g,an,3
剧,kek6,ju4,k,ek,6,j,ü,4
票,piu3,piao4,p,iu,3,p,iao,4
损,syun2,sun3,s,ün,2,s,un,3
忽,fat1,hu1,f,at,1,h,u,1
巨,geoi6,ju4,g,eoi,6,j,ü,4
炮,paau3,pao4,p,aau,3,p,ao,4
旧,gau6,jiu4,g,au,6,j,iu,4
端,dyun1,duan1,d,ün,1,d,uan,1
探,taam3,tan4,t,aam,3,t,an,4
湖,wu4,hu2,w,u,4,h,u,2
录,luk6,lu4,l,uk,6,l,u,4
叶,jip6,ye4,j,ip,6,y,e,4
春,ceon1,chun1,c,eon,1,ch,un,1
乡,hoeng1,xiang1,h,oeng,1,x,iang,1
附,fu6,fu4,f,u,6,f,u,4
吸,kap1,xi1,k,ap,1,x,i,1
予,jyu5,yu2,j,ü,5,y,ü,2
礼,lai5,li3,l,ai,5,l,i,3
港,gong2,gang3,g,ong,2,g,ang,3
雨,jyu5,yu3,j,ü,5,y,ü,3
呀,aa1,ya1, ,aa,1,y,a,1
板,baan2,ban3,b,aan,2,b,an,3
庭,ting4,ting2,t,ing,4,t,ing,2
妇,fu5,fu4,f,u,5,f,u,4
归,gwai1,gui1,gw,ai,1,g,ui,1
睛,zing1,jing1,z,ing,1,j,ing,1
饭,faan6,fan4,f,aan,6,f,an,4
额,ngaak6,e2,ng,aak,6, ,e,2
含,ham4,han2,h,am,4,h,an,2
顺,seon6,shun4,s,eon,6,sh,un,4
输,syu1,shu1,s,ü,1,sh,u,1
摇,jiu4,yao2,j,iu,4,y,ao,2
招,ziu1,zhao1,z,iu,1,zh,ao,1
婚,fan1,hun1,f,an,1,h,un,1
脱,tyut3,tuo1,t,üt,3,t,uo,1
补,bou2,bu3,b,ou,2,b,u,3
谓,wai6,wei4,w,ai,6,w,ei,4
督,duk1,du1,d,uk,1,d,u,1
毒,duk6,du2,d,uk,6,d,u,2
油,jau4,you2,j,au,4,y,ou,2
疗,liu4,liao2,l,iu,4,l,iao,2
旅,leoi5,lv3,l,eoi,5,l,ü,3
泽,zaak6,ze2,z,aak,6,z,e,2
材,coi4,cai2,c,oi,4,c,ai,2
灭,mit6,mie4,m,it,6,m,ie,4
逐,zuk6,zhu2,z,uk,6,zh,u,2
莫,mok6,mo4,m,ok,6,m,o,4
笔,bat1,bi3,b,at,1,b,i,3
亡,mong4,wang2,m,ong,4,w,ang,2
鲜,sin2,xian1,s,in,2,x,iän,1
词,ci4,ci2,c,i,4,c,i,2
圣,sing3,sheng4,s,ing,3,sh,eng,4
择,zaak6,ze2,z,aak,6,z,e,2
寻,cam4,xun2,c,am,4,x,ün,2
厂,cong2,chang3,c,ong,2,ch,ang,3
睡,seoi6,shui4,s,eoi,6,sh,ui,4
博,bok3,bo2,b,ok,3,b,o,2
勒,lak6,le4,l,ak,6,l,e,4
烟,jin1,yan1,j,in,1,y,än,1
授,sau6,shou4,s,au,6,sh,ou,4
诺,nok6,nuo4,n,ok,6,n,uo,4
伦,leon4,lun2,l,eon,4,l,un,2
岸,ngon6,an4,ng,on,6, ,an,4
奥,ngou3,ao4,ng,ou,3, ,ao,4
唐,tong4,tang2,t,ong,4,t,ang,2
卖,maai6,mai4,m,aai,6,m,ai,4
俄,ngo4,e2,ng,o,4, ,e,2
炸,zaa3,zha4,z,aa,3,zh,a,4
载,zoi3,zai4,z,oi,3,z,ai,4
洛,lok6,luo4,l,ok,6,l,uo,4
健,gin6,jian4,g,in,6,j,iän,4
堂,tong4,tang2,t,ong,4,t,ang,2
旁,pong4,pang2,p,ong,4,p,ang,2
宫,gung1,gong1,g,ung,1,g,ong,1
喝,hot3,he1,h,ot,3,h,e,1
借,ze3,jie4,z,e,3,j,ie,4
君,gwan1,jun1,gw,an,1,j,ün,1
禁,gam3,jin4,g,am,3,j,in,4
阴,jam1,yin1,j,am,1,y,in,1
园,jyun4,yuan2,j,ün,4,y,üän,2
谋,mau4,mou2,m,au,4,m,ou,2
宋,sung3,song4,s,ung,3,s,ong,4
避,bei6,bi4,b,ei,6,b,i,4
抓,zaau2,zhua1,z,aau,2,zh,ua,1
荣,wing4,rong2,w,ing,4,r,ong,2
姑,gu1,gu1,g,u,1,g,u,1
孙,syun1,sun1,s,ün,1,s,un,1
逃,tou4,tao2,t,ou,4,t,ao,2
牙,ngaa4,ya2,ng,aa,4,y,a,2
束,cuk1,shu4,c,uk,1,sh,u,4
跳,tiu3,tiao4,t,iu,3,t,iao,4
顶,ding2,ding3,d,ing,2,d,ing,3
玉,juk6,yu4,j,uk,6,y,ü,4
镇,zan3,zhen4,z,an,3,zh,en,4
雪,syut3,xue3,s,üt,3,x,üe,3
午,ng5,wu3, ,_ng,5,w,u,3
练,lin6,lian4,l,in,6,l,ian,4
迫,baak1,po4,b,aak,1,p,o,4
爷,je4,ye2,j,e,4,y,e,2
篇,pin1,pian1,p,in,1,p,ian,1
肉,juk6,rou4,j,uk,6,r,ou,4
嘴,zeoi2,zui3,z,eoi,2,z,ui,3
馆,gun2,guan3,g,un,2,g,uan,3
遍,pin3,bian4,p,in,3,b,ian,4
凡,faan4,fan2,f,aan,4,f,an,2
础,co2,chu3,c,o,2,ch,u,3
洞,dung6,dong4,d,ung,6,d,ong,4
卷,gyun2,juan4,g,ün,2,j,üän,4
坦,taan2,tan3,t,aan,2,t,an,3
牛,ngau4,niu2,ng,au,4,n,iu,2
宁,ning4,ning2,n,ing,4,n,ing,2
纸,zi2,zhi3,z,i,2,zh,i,3
诸,zyu1,zhu1,z,ü,1,zh,u,1
训,fan3,xun4,f,an,3,x,ün,4
私,si1,si1,s,i,1,s,i,1
庄,zong1,zhuang1,z,ong,1,zh,uang,1
祖,zou2,zu3,z,ou,2,z,u,3
丝,si1,si1,s,i,1,s,i,1
翻,faan1,fan1,f,aan,1,f,an,1
暴,bou6,bao4,b,ou,6,b,ao,4
森,sam1,sen1,s,am,1,s,en,1
塔,taap3,ta3,t,aap,3,t,a,3
默,mak6,mo4,m,ak,6,m,o,4
握,aak1,wo4, ,aak,1,w,o,4
戏,hei3,xi4,h,ei,3,x,i,4
隐,jan2,yin3,j,an,2,y,in,3
熟,suk6,shu2,s,uk,6,sh,u,2
骨,gwat1,gu3,gw,at,1,g,u,3
访,fong2,fang3,f,ong,2,f,ang,3
弱,joek6,ruo4,j,oek,6,r,uo,4
蒙,mung4,meng2,m,ung,4,m,eng,2
歌,go1,ge1,g,o,1,g,e,1
店,dim3,dian4,d,im,3,d,ian,4
鬼,gwai2,gui3,gw,ai,2,g,ui,3
软,jyun5,ruan3,j,ün,5,r,uan,3
典,din2,dian3,d,in,2,d,ian,3
欲,juk6,yu4,j,uk,6,y,ü,4
萨,saat3,sa4,s,aat,3,s,a,4
伙,fo2,huo3,f,o,2,h,uo,3
遭,zou1,zao1,z,ou,1,z,ao,1
盘,pun4,pan2,p,un,4,p,an,2
爸,baa1,ba4,b,aa,1,b,a,4
扩,kwok3,kuo4,kw,ok,3,k,uo,4
盖,koi3,gai4,k,oi,3,g,ai,4
弄,lung6,nong4,l,ung,6,n,ong,4
雄,hung4,xiong2,h,ung,4,x,iong,2
稳,wan2,wen3,w,an,2,w,en,3
忘,mong4,wang4,m,ong,4,w,ang,4
亿,jik1,yi4,j,ik,1,y,i,4
刺,ci3,ci4,c,i,3,c,i,4
拥,jung2,yong3,j,ung,2,y,ong,3
徒,tou4,tu2,t,ou,4,t,u,2
姆,mou5,mu3,m,ou,5,m,u,3
杨,joeng4,yang2,j,oeng,4,y,ang,2
齐,cai4,qi2,c,ai,4,q,i,2
赛,coi3,sai4,c,oi,3,s,ai,4
趣,ceoi3,qu4,c,eoi,3,q,ü,4
曲,kuk1,qu1,k,uk,1,q,ü,1
刀,dou1,dao1,d,ou,1,d,ao,1
床,cong4,chuang2,c,ong,4,ch,uang,2
迎,jing4,ying2,j,ing,4,y,ing,2
冰,bing1,bing1,b,ing,1,b,ing,1
虚,heoi1,xu1,h,eoi,1,x,ü,1
玩,wun2,wan2,w,un,2,w,an,2
析,sik1,xi1,s,ik,1,x,i,1
窗,coeng1,chuang1,c,oeng,1,ch,uang,1
醒,sing2,xing3,s,ing,2,x,ing,3
妻,cai1,qi1,c,ai,1,q,i,1
透,tau3,tou4,t,au,3,t,ou,4
购,gau3,gou4,g,au,3,g,ou,4
替,tai3,ti4,t,ai,3,t,i,4
塞,sak1,sai1,s,ak,1,s,ai,1
努,lou5,nu3,l,ou,5,n,u,3
休,jau1,xiu1,j,au,1,x,iu,1
虎,fu2,hu3,f,u,2,h,u,3
扬,joeng4,yang2,j,oeng,4,y,ang,2
途,tou4,tu2,t,ou,4,t,u,2
侵,cam1,qin1,c,am,1,q,in,1
刑,jing4,xing2,j,ing,4,x,ing,2
绿,luk6,lv4,l,uk,6,l,ü,4
兄,hing1,xiong1,h,ing,1,x,iong,1
迅,seon3,xun4,s,eon,3,x,ün,4
套,tou3,tao4,t,ou,3,t,ao,4
贸,mau6,mao4,m,au,6,m,ao,4
毕,bat1,bi4,b,at,1,b,i,4
唯,wai4,wei2,w,ai,4,w,ei,2
谷,guk1,gu3,g,uk,1,g,u,3
轮,leon4,lun2,l,eon,4,l,un,2
库,fu3,ku4,f,u,3,k,u,4
迹,zik1,ji1,z,ik,1,j,i,1
尤,jau4,you2,j,au,4,y,ou,2
竞,ging6,jing4,g,ing,6,j,ing,4
街,gaai1,jie1,g,aai,1,j,ie,1
促,cuk1,cu4,c,uk,1,c,u,4
延,jin4,yan2,j,in,4,y,än,2
震,zan3,zhen4,z,an,3,zh,en,4
弃,hei3,qi4,h,ei,3,q,i,4
甲,gaap3,jia3,g,aap,3,j,ia,3
伟,wai5,wei3,w,ai,5,w,ei,3
麻,maa4,ma2,m,aa,4,m,a,2
川,cyun1,chuan1,c,ün,1,ch,uan,1
申,san1,shen1,s,an,1,sh,en,1
缓,wun6,huan3,w,un,6,h,uan,3
潜,cim4,qian2,c,im,4,q,iän,2
闪,sim2,shan3,s,im,2,sh,an,3
售,sau6,shou4,s,au,6,sh,ou,4
灯,dang1,deng1,d,ang,1,d,eng,1
针,zam1,zhen1,z,am,1,zh,en,1
哲,zit3,zhe2,z,it,3,zh,e,2
络,lok3,luo4,l,ok,3,l,uo,4
抵,dai2,di3,d,ai,2,d,i,3
朱,zyu1,zhu1,z,ü,1,zh,u,1
埃,oi1,ai1, ,oi,1, ,ai,1
抱,pou5,bao4,p,ou,5,b,ao,4
鼓,gu2,gu3,g,u,2,g,u,3
植,zik6,zhi2,z,ik,6,zh,i,2
纯,seon4,chun2,s,eon,4,ch,un,2
夏,haa6,xia4,h,aa,6,x,ia,4
忍,jan2,ren3,j,an,2,r,en,3
页,jip6,ye4,j,ip,6,y,e,4
杰,git6,jie2,g,it,6,j,ie,2
筑,zuk1,zhu2,z,uk,1,zh,u,2
折,zip3,zhe2,z,ip,3,zh,e,2
郑,zeng6,zheng4,z,eng,6,zh,eng,4
贝,bui3,bei4,b,ui,3,b,ei,4
尊,zyun1,zun1,z,ün,1,z,un,1
吴,ng4,wu2, ,_ng,4,w,u,2
秀,sau3,xiu4,s,au,3,x,iu,4
混,wan6,hun4,w,an,6,h,un,4
臣,san4,chen2,s,an,4,ch,en,2
雅,ngaa5,ya3,ng,aa,5,y,a,3
振,zan3,zhen4,z,an,3,zh,en,4
染,jim5,ran3,j,im,5,r,an,3
盛,sing4,sheng4,s,ing,4,sh,eng,4
怒,nou6,nu4,n,ou,6,n,u,4
舞,mou5,wu3,m,ou,5,w,u,3
圆,jyun4,yuan2,j,ün,4,y,üän,2
搞,gaau2,gao3,g,aau,2,g,ao,3
狂,kwong4,kuang2,kw,ong,4,k,uang,2
措,cou3,cuo4,c,ou,3,c,uo,4
姓,sing3,xing4,s,ing,3,x,ing,4
残,caan4,can2,c,aan,4,c,an,2
秋,cau1,qiu1,c,au,1,q,iu,1
培,pui4,pei2,p,ui,4,p,ei,2
迷,mai4,mi2,m,ai,4,m,i,2
诚,sing4,cheng2,s,ing,4,ch,eng,2
宽,fun1,kuan1,f,un,1,k,uan,1
宇,jyu5,yu3,j,ü,5,y,ü,3
猛,maang5,meng3,m,aang,5,m,eng,3
摆,baai2,bai3,b,aai,2,b,ai,3
梅,mui4,mei2,m,ui,4,m,ei,2
毁,wai2,hui3,w,ai,2,h,ui,3
伸,san1,shen1,s,an,1,sh,en,1
摩,mo1,mo2,m,o,1,m,o,2
盟,mang4,meng2,m,ang,4,m,eng,2
末,mut6,mo4,m,ut,6,m,o,4
乃,naai5,nai3,n,aai,5,n,ai,3
悲,bei1,bei1,b,ei,1,b,ei,1
拍,paak3,pai1,p,aak,3,p,ai,1
丁,ding1,ding1,d,ing,1,d,ing,1
赵,ziu6,zhao4,z,iu,6,zh,ao,4
硬,ngaang6,ying4,ng,aang,6,y,ing,4
麦,mak6,mai4,m,ak,6,m,ai,4
蒋,zoeng2,jiang3,z,oeng,2,j,iang,3
操,cou3,cao1,c,ou,3,c,ao,1
耶,je4,ye2,j,e,4,y,e,2
阻,zo2,zu3,z,o,2,z,u,3
订,ding3,ding4,d,ing,3,d,ing,4
彩,coi2,cai3,c,oi,2,c,ai,3
抽,cau1,chou1,c,au,1,ch,ou,1
赞,zaan3,zan4,z,aan,3,z,an,4
魔,mo1,mo2,m,o,1,m,o,2
纷,fan1,fen1,f,an,1,f,en,1
沿,jyun4,yan2,j,ün,4,y,än,2
喊,haam3,han3,h,aam,3,h,an,3
违,wai4,wei2,w,ai,4,w,ei,2
妹,mui6,mei4,m,ui,6,m,ei,4
浪,long6,lang4,l,ong,6,l,ang,4
汇,wai6,hui4,w,ai,6,h,ui,4
币,bai6,bi4,b,ai,6,b,i,4
丰,fung1,feng1,f,ung,1,f,eng,1
蓝,laam4,lan2,l,aam,4,l,an,2
殊,syu4,shu1,s,ü,4,sh,u,1
献,hin3,xian4,h,in,3,x,iän,4
桌,zoek3,zhuo1,z,oek,3,zh,uo,1
啦,laa1,la5,l,aa,1,l,a,5
瓦,ngaa5,wa3,ng,aa,5,w,a,3
莱,loi4,lai2,l,oi,4,l,ai,2
援,jyun4,yuan2,j,ün,4,y,üän,2
译,jik6,yi4,j,ik,6,y,i,4
夺,dyut6,duo2,d,üt,6,d,uo,2
汽,hei3,qi4,h,ei,3,q,i,4
烧,siu1,shao1,s,iu,1,sh,ao,1
距,keoi5,ju4,k,eoi,5,j,ü,4
裁,coi4,cai2,c,oi,4,c,ai,2
偏,pin1,pian1,p,in,1,p,ian,1
符,fu4,fu2,f,u,4,f,u,2
勇,jung5,yong3,j,ung,5,y,ong,3
触,cuk1,hong2,c,uk,1,h,ong,2
课,fo3,ke4,f,o,3,k,e,4
敬,ging3,jing4,g,ing,3,j,ing,4
哭,huk1,ku1,h,uk,1,k,u,1
懂,dung2,dong3,d,ung,2,d,ong,3
墙,coeng4,qiang2,c,oeng,4,q,iang,2
袭,zaap6,xi2,z,aap,6,x,i,2
召,ziu6,zhao4,z,iu,6,zh,ao,4
罚,fat6,fa2,f,at,6,f,a,2
侠,hap6,xia2,h,ap,6,x,ia,2
厅,ting1,ting1,t,ing,1,t,ing,1
拜,baai3,bai4,b,aai,3,b,ai,4
巧,haau2,qiao3,h,aau,2,q,iao,3
侧,zak1,ce4,z,ak,1,c,e,4
韩,hon4,han2,h,on,4,h,an,2
