character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
太,taai3,tai4,t,aai,3,t,ai,4
量,loeng4,liang4,l,oeng,4,l,iang,4
再,zoi3,zai4,z,oi,3,z,ai,4
感,gam2,gan3,g,am,2,g,an,3
建,gin3,jian4,g,in,3,j,iän,4
务,mou6,wu4,m,ou,6,w,u,4
做,zou6,zuo4,z,ou,6,z,uo,4
接,zip3,jie1,z,ip,3,j,ie,1
必,bit1,bi4,b,it,1,b,i,4
场,coeng4,chang2,c,oeng,4,ch,ang,2
件,gin6,jian4,g,in,6,j,iän,4
计,gai3,ji4,g,ai,3,j,i,4
管,gun2,guan3,g,un,2,g,uan,3
期,kei4,qi1,k,ei,4,q,i,1
市,si5,shi4,s,i,5,sh,i,4
直,zik6,zhi2,z,ik,6,zh,i,2
德,dak1,de2,d,ak,1,d,e,2
资,zi1,zi1,z,i,1,z,i,1
命,meng6,ming4,m,eng,6,m,ing,4
山,saan1,shan1,s,aan,1,sh,an,1
金,gam1,jin1,g,am,1,j,in,1
指,zi2,zhi3,z,i,2,zh,i,3
克,hak1,ke4,h,ak,1,k,e,4
许,heoi2,xu3,h,eoi,2,x,ü,3
统,tung2,tong3,t,ung,2,t,ong,3
区,keoi1,qu1,k,eoi,1,q,ü,1
保,bou2,bao3,b,ou,2,b,ao,3
至,zi3,zhi4,z,i,3,zh,i,4
队,deoi6,dui4,d,eoi,6,d,ui,4
形,jing4,xing2,j,ing,4,x,ing,2
社,se5,she4,s,e,5,sh,e,4
便,bin6,bian4,b,in,6,b,ian,4
空,hung1,kong1,h,ung,1,k,ong,1
决,kyut3,jue2,k,üt,3,j,üe,2
治,zi6,zhi4,z,i,6,zh,i,4
展,zin2,zhan3,z,in,2,zh,an,3
马,maa5,ma3,m,aa,5,m,a,3
科,fo1,ke1,f,o,1,k,e,1
司,si1,si1,s,i,1,s,i,1
五,ng5,wu3, ,_ng,5,w,u,3
基,gei1,ji1,g,ei,1,j,i,1
眼,ngaan5,yan3,ng,aan,5,y,än,3
书,syu1,shu1,s,ü,1,sh,u,1
非,fei1,fei1,f,ei,1,f,ei,1
则,zak1,ze2,z,ak,1,z,e,2
听,ting1,ting1,t,ing,1,t,ing,1
白,baak6,bai2,b,aak,6,b,ai,2
却,koek3,que4,k,oek,3,q,üe,4
界,gaai3,jie4,g,aai,3,j,ie,4
达,daat6,da2,d,aat,6,d,a,2
光,gwong1,guang1,gw,ong,1,g,uang,1
放,fong3,fang4,f,ong,3,f,ang,4
强,goeng6,qiang2,g,oeng,6,q,iang,2
即,zik1,ji2,z,ik,1,j,i,2
像,zoeng6,xiang4,z,oeng,6,x,iang,4
难,naan6,nan2,n,aan,6,n,an,2
且,ce2,qie3,c,e,2,q,ie,3
权,kyun4,quan2,k,ün,4,q,üän,2
思,si1,si1,s,i,1,s,i,1
王,wong4,wang2,w,ong,4,w,ang,2
象,zoeng6,xiang4,z,oeng,6,x,iang,4
完,jyun4,wan2,j,ün,4,w,an,2
设,cit3,she4,c,it,3,sh,e,4
式,sik1,shi4,s,ik,1,sh,i,4
色,sik1,se4,s,ik,1,s,e,4
路,lou6,lu4,l,ou,6,l,u,4
记,gei3,ji4,g,ei,3,j,i,4
南,naam4,nan2,n,aam,4,n,an,2
品,ban2,pin3,b,an,2,p,in,3
住,zyu6,zhu4,z,ü,6,zh,u,4
告,gou3,gao4,g,ou,3,g,ao,4
类,leoi6,lei4,l,eoi,6,l,ei,4
求,kau4,qiu2,k,au,4,q,iu,2
据,geoi3,ju4,g,eoi,3,j,ü,4
程,cing4,cheng2,c,ing,4,ch,eng,2
北,bak1,bei3,b,ak,1,b,ei,3
边,bin1,bian1,b,in,1,b,ian,1
死,sei2,si3,s,ei,2,s,i,3
张,zoeng1,zhang1,z,oeng,1,zh,ang,1
该,goi1,gai1,g,oi,1,g,ai,1
交,gaau1,jiao1,g,aau,1,j,iao,1
规,kwai1,gui1,kw,ai,1,g,ui,1
万,mak6,wan4,m,ak,6,w,an,4
取,ceoi2,qu3,c,eoi,2,q,ü,3
拉,laai1,la1,l,aai,1,l,a,1
格,gaak3,ge2,g,aak,3,g,e,2
望,mong6,wang4,m,ong,6,w,ang,4
觉,gaau3,jue2,g,aau,3,j,üe,2
术,seot6,zhu2,s,eot,6,zh,u,2
领,leng5,ling3,l,eng,5,l,ing,3
共,gung6,gong4,g,ung,6,g,ong,4
确,kok3,que4,k,ok,3,q,üe,4
传,cyun4,chuan2,c,ün,4,ch,uan,2
师,si1,shi1,s,i,1,sh,i,1
观,gun1,guan1,g,un,1,g,uan,1
清,cing1,qing1,c,ing,1,q,ing,1
今,gam1,jin1,g,am,1,j,in,1
切,cai3,qie1,c,ai,3,q,ie,1
院,jyun6,yuan4,j,ün,6,y,üän,4
让,joeng6,rang4,j,oeng,6,r,ang,4
识,sik1,shi4,s,ik,1,sh,i,4
候,hau6,hou4,h,au,6,h,ou,4
带,daai3,dai4,d,aai,3,d,ai,4
导,dou6,dao3,d,ou,6,d,ao,3
争,zang1,zheng1,z,ang,1,zh,eng,1
运,wan6,yun4,w,an,6,y,ün,4
笑,siu3,xiao4,s,iu,3,x,iao,4
飞,fei1,fei1,f,ei,1,f,ei,1
风,fung1,feng1,f,ung,1,f,eng,1
步,bou6,bu4,b,ou,6,b,u,4
改,goi2,gai3,g,oi,2,g,ai,3
收,sau1,shou1,s,au,1,sh,ou,1
根,gan1,gen1,g,an,1,g,en,1
